"NGAsubRSN","NGAsubEQID","NGAsubSSN"
1001549,1000077,1000104
1001551,1000077,1000023
1001552,1000077,1000024
1001554,1000077,1000025
1001555,1000077,1000005
1001556,1000077,1000026
1001557,1000077,1000051
1001559,1000077,1000027
1001560,1000077,1000069
1001562,1000077,1000028
1001563,1000077,1000053
1001564,1000077,1000054
1001565,1000077,1000029
1001567,1000077,1000077
1001568,1000077,1000030
1001569,1000077,1000031
1001570,1000077,1000033
1001571,1000077,1000034
1001572,1000077,1000035
1001573,1000077,1000078
1001574,1000077,1000073
1001575,1000077,1000036
1001579,1000077,1000037
1001580,1000077,1000055
1001581,1000077,1000038
1001584,1000077,1000060
1001585,1000077,1000040
1001586,1000077,1000041
1001587,1000077,1000042
1001589,1000077,1000009
1001590,1000077,1000049
1001591,1000077,1000043
1001592,1000077,1000094
1001594,1000077,1000061
1001595,1000077,1000045
1001596,1000077,1000082
1001597,1000077,1000083
1001598,1000077,1000096
1001599,1000077,1000056
1001600,1000077,1000046
1001605,1000078,1000016
1001606,1000078,1000020
1001607,1000078,1000021
1001609,1000078,1000024
1001610,1000078,1000025
1001611,1000078,1000005
1001612,1000078,1000026
1001613,1000078,1000051
1001615,1000078,1000027
1001616,1000078,1000069
1001618,1000078,1000053
1001619,1000078,1000054
1001620,1000078,1000029
1001621,1000078,1000030
1001622,1000078,1000032
1001624,1000078,1000037
1001625,1000078,1000055
1001626,1000078,1000038
1001629,1000078,1000040
1001630,1000078,1000041
1001631,1000078,1000042
1001632,1000078,1000049
1001633,1000078,1000043
1001634,1000078,1000045
1001636,1000078,1000056
1001638,1000079,1000002
1001651,1000079,1000005
1001663,1000079,1000008
1001693,1000080,1000021
1001698,1000080,1000005
1001707,1000080,1000029
1001715,1000080,1000008
1001726,1000080,1000009
1001737,1000081,1000102
1001739,1000081,1000014
1001740,1000081,1000015
1001741,1000081,1000016
1001742,1000081,1000017
1001743,1000081,1000018
1001744,1000081,1000019
1001745,1000081,1000020
1001746,1000081,1000021
1001747,1000081,1000058
1001748,1000081,1000059
1001749,1000081,1000104
1001750,1000081,1000072
1001751,1000081,1000023
1001752,1000081,1000024
1001754,1000081,1000025
1001756,1000081,1000051
1001757,1000081,1000066
1001758,1000081,1000027
1001759,1000081,1000069
1001760,1000081,1000076
1001762,1000081,1000053
1001763,1000081,1000054
1001764,1000081,1000029
1001766,1000081,1000077
1001767,1000081,1000030
1001768,1000081,1000031
1001769,1000081,1000033
1001770,1000081,1000034
1001771,1000081,1000035
1001772,1000081,1000078
1001774,1000081,1000036
1001775,1000081,1000075
1001776,1000081,1000071
1001777,1000081,1000079
1001778,1000081,1000037
1001779,1000081,1000055
1001780,1000081,1000038
1001783,1000081,1000040
1001784,1000081,1000041
1001785,1000081,1000042
1001786,1000081,1000080
1001787,1000081,1000009
1001788,1000081,1000049
1001789,1000081,1000094
1001791,1000081,1000045
1001793,1000081,1000082
1001794,1000081,1000083
1001795,1000081,1000096
1001796,1000081,1000056
1001797,1000081,1000046
1001867,1000084,1000102
1001868,1000084,1000103
1001869,1000084,1000014
1001870,1000084,1000015
1001871,1000084,1000016
1001872,1000084,1000017
1001873,1000084,1000018
1001874,1000084,1000020
1001875,1000084,1000058
1001876,1000084,1000023
1001877,1000084,1000024
1001879,1000084,1000066
1001880,1000084,1000027
1001881,1000084,1000028
1001882,1000084,1000054
1001883,1000084,1000029
1001885,1000084,1000100
1001886,1000084,1000030
1001887,1000084,1000031
1001888,1000084,1000107
1001889,1000084,1000092
1001890,1000084,1000033
1001891,1000084,1000034
1001892,1000084,1000108
1001893,1000084,1000035
1001894,1000084,1000111
1001895,1000084,1000073
1001896,1000084,1000036
1001897,1000084,1000075
1001898,1000084,1000071
1001899,1000084,1000079
1001900,1000084,1000037
1001901,1000084,1000055
1001903,1000084,1000060
1001904,1000084,1000101
1001905,1000084,1000040
1001906,1000084,1000109
1001907,1000084,1000041
1001908,1000084,1000042
1001909,1000084,1000067
1001910,1000084,1000043
1001911,1000084,1000094
1001913,1000084,1000045
1001914,1000084,1000082
1001915,1000084,1000083
1001916,1000084,1000096
1001917,1000084,1000046
1001918,1000085,1000002
1001938,1000085,1000008
1002014,1000087,1000014
1002016,1000087,1000016
1002019,1000087,1000021
1002021,1000087,1000024
1002022,1000087,1000005
1002023,1000087,1000026
1002024,1000087,1000051
1002025,1000087,1000027
1002026,1000087,1000069
1002028,1000087,1000053
1002029,1000087,1000029
1002030,1000087,1000077
1002031,1000087,1000030
1002032,1000087,1000031
1002038,1000087,1000037
1002039,1000087,1000038
1002042,1000087,1000041
1002043,1000087,1000042
1002045,1000087,1000009
1002046,1000087,1000049
1002047,1000087,1000043
1002050,1000087,1000056
1002121,1000026,1000116
1002122,1000026,1000115
1002123,1000026,1000113
1002136,1000027,1000115
1002139,1000027,1000119
1002140,1000027,1000120
1002141,1000027,1000121
1002142,1000027,1000122
1002143,1000027,1000113
1002144,1000028,1000115
1002146,1000028,1000119
1002147,1000028,1000120
1002148,1000028,1000121
1002149,1000028,1000122
1002150,1000028,1000113
1002166,1000022,1000115
1002167,1000022,1000118
1002168,1000022,1000119
1002169,1000022,1000120
1002170,1000022,1000121
1002171,1000031,1000115
1002172,1000031,1000118
1002173,1000031,1000119
1002174,1000031,1000120
1002175,1000031,1000121
1002177,1000058,1000115
1002178,1000058,1000118
1002179,1000058,1000119
1002180,1000058,1000120
1002181,1000058,1000121
1002194,1000006,1000116
1002195,1000006,1000115
1002196,1000006,1000130
1002197,1000006,1000119
1002198,1000006,1000121
1002199,1000006,1000113
1002201,1000085,1000116
1002202,1000085,1000115
1002203,1000085,1000130
1002204,1000085,1000119
1002205,1000085,1000120
1002206,1000085,1000121
1002227,1000087,1000117
1002228,1000087,1000125
1002229,1000087,1000126
1002230,1000087,1000129
1002232,1000080,1000115
1002233,1000080,1000117
1002234,1000080,1000125
1002235,1000080,1000130
1002238,1000043,1000116
1002239,1000043,1000131
1002240,1000043,1000134
1002241,1000043,1000115
1002244,1000043,1000130
1002245,1000043,1000113
1002246,1000078,1000115
1002247,1000078,1000124
1002248,1000078,1000117
1002249,1000078,1000125
1002251,1000078,1000126
1002252,1000078,1000129
1002259,1000077,1000124
1002260,1000077,1000117
1002262,1000077,1000133
1002263,1000077,1000129
1002264,1000077,1000114
1002266,1000081,1000124
1002267,1000081,1000117
1002268,1000081,1000133
1002269,1000081,1000114
1002270,1000081,1000135
1002272,1000084,1000124
1002273,1000084,1000117
1002274,1000084,1000114
1002275,1000084,1000135
1002290,1000067,1000116
1002291,1000067,1000131
1002292,1000067,1000134
1002299,1000067,1000130
1002300,1000005,1000116
1002301,1000005,1000131
1002302,1000005,1000134
1002303,1000005,1000115
1002304,1000005,1000113
1002305,1000061,1000116
1002306,1000061,1000131
1002307,1000061,1000134
1002308,1000061,1000115
1002309,1000061,1000113
1002310,1000023,1000116
1002311,1000023,1000131
1002312,1000023,1000134
1002313,1000023,1000115
1002314,1000023,1000113
1002315,1000062,1000116
1002316,1000062,1000131
1002317,1000062,1000134
1002318,1000062,1000115
1002319,1000062,1000113
1002320,1000072,1000116
1002321,1000072,1000131
1002322,1000072,1000134
1002323,1000072,1000115
1002324,1000072,1000113
1002325,1000050,1000116
1002326,1000050,1000131
1002327,1000050,1000134
1002328,1000050,1000115
1002329,1000050,1000130
1002330,1000050,1000113
1002331,1000070,1000116
1002332,1000070,1000131
1002333,1000070,1000134
1002334,1000070,1000115
1002335,1000070,1000130
1002336,1000070,1000113
1002337,1000074,1000116
1002338,1000074,1000131
1002339,1000074,1000134
1002340,1000074,1000115
1002341,1000074,1000130
1002342,1000074,1000113
1002343,1000065,1000116
1002344,1000065,1000131
1002345,1000065,1000134
1002346,1000065,1000115
1002348,1000065,1000130
1002349,1000066,1000136
1002350,1000066,1000138
1002351,1000066,1000124
1002352,1000066,1000139
1002353,1000066,1000126
1002354,1000066,1000133
1002355,1000066,1000129
1002357,1000069,1000116
1002358,1000069,1000131
1002359,1000069,1000134
1002360,1000069,1000115
1002361,1000069,1000136
1002362,1000069,1000138
1002363,1000069,1000139
1002364,1000069,1000130
1002365,1000069,1000133
1002367,1000068,1000116
1002368,1000068,1000131
1002369,1000068,1000134
1002370,1000068,1000115
1002371,1000068,1000130
1002382,1000076,1000136
1002383,1000076,1000138
1002384,1000076,1000139
1002385,1000076,1000126
1002386,1000076,1000133
1002387,1000076,1000129
1002388,1000076,1000114
1002389,1000076,1000135
1002390,1000071,1000136
1002391,1000071,1000138
1002392,1000071,1000117
1002393,1000071,1000114
1002394,1000071,1000135
1002395,1000079,1000116
1002396,1000079,1000131
1002397,1000079,1000134
1002398,1000079,1000115
1002399,1000079,1000118
1002400,1000079,1000130
1002401,1000079,1000113
1002449,1000077,1000028
1002457,1000084,1000028
1002468,1000076,1000143
1002469,1000076,1000028
1002474,1000071,1000028
1002479,1000141,1000057
1002480,1000141,1000085
1002481,1000141,1000102
1002482,1000141,1000103
1002483,1000141,1000014
1002484,1000141,1000015
1002485,1000141,1000016
1002486,1000141,1000087
1002487,1000141,1000149
1002489,1000141,1000019
1002491,1000141,1000020
1002492,1000141,1000021
1002494,1000141,1000022
1002496,1000141,1000104
1002497,1000141,1000024
1002499,1000141,1000025
1002501,1000141,1000051
1002502,1000141,1000068
1002503,1000141,1000066
1002505,1000141,1000027
1002506,1000141,1000088
1002507,1000141,1000069
1002508,1000141,1000105
1002509,1000141,1000090
1002510,1000141,1000028
1002511,1000141,1000054
1002512,1000141,1000100
1002513,1000141,1000091
1002514,1000141,1000030
1002515,1000141,1000153
1002516,1000141,1000032
1002517,1000141,1000107
1002518,1000141,1000092
1002520,1000141,1000155
1002521,1000141,1000108
1002522,1000141,1000156
1002524,1000141,1000111
1002526,1000141,1000036
1002527,1000141,1000075
1002528,1000141,1000071
1002529,1000141,1000079
1002530,1000141,1000037
1002531,1000141,1000093
1002532,1000141,1000055
1002534,1000141,1000101
1002535,1000141,1000040
1002536,1000141,1000109
1002537,1000141,1000157
1002538,1000141,1000042
1002540,1000141,1000080
1002541,1000141,1000049
1002542,1000141,1000050
1002544,1000141,1000043
1002545,1000141,1000110
1002548,1000141,1000061
1002550,1000141,1000045
1002551,1000141,1000095
1002552,1000141,1000082
1002553,1000141,1000098
1002554,1000141,1000084
1002555,1000141,1000056
1002556,1000141,1000046
1002557,1000141,1000081
1002563,1000141,1000136
1002564,1000141,1000137
1002565,1000141,1000138
1002566,1000141,1000162
1002569,1000141,1000117
1002574,1000141,1000132
1002576,1000141,1000168
1002577,1000141,1000169
1002578,1000141,1000133
1002579,1000141,1000128
1002580,1000141,1000170
1002581,1000141,1000129
1002589,1000141,1000174
1002590,1000141,1000175
1002591,1000141,1000176
1002593,1000141,1000178
1002594,1000141,1000179
1002597,1000141,1000182
1002603,1000141,1000188
1002609,1000141,1000135
1002774,1000071,1000198
1002782,1000071,1000200
1002783,1000071,1000201
1002784,1000071,1000208
1002792,1000142,1000057
1002793,1000142,1000085
1002794,1000142,1000102
1002795,1000142,1000086
1002797,1000142,1000103
1002798,1000142,1000014
1002799,1000142,1000015
1002800,1000142,1000016
1002801,1000142,1000087
1002802,1000142,1000149
1002803,1000142,1000018
1002804,1000142,1000019
1002805,1000142,1000003
1002806,1000142,1000004
1002808,1000142,1000021
1002810,1000142,1000059
1002812,1000142,1000104
1002813,1000142,1000024
1002815,1000142,1000025
1002817,1000142,1000051
1002818,1000142,1000068
1002822,1000142,1000027
1002823,1000142,1000088
1002824,1000142,1000069
1002825,1000142,1000089
1002826,1000142,1000105
1002827,1000142,1000028
1002828,1000142,1000054
1002829,1000142,1000029
1002830,1000142,1000212
1002832,1000142,1000077
1002833,1000142,1000100
1002834,1000142,1000091
1002835,1000142,1000030
1002836,1000142,1000031
1002838,1000142,1000032
1002839,1000142,1000213
1002841,1000142,1000155
1002842,1000142,1000108
1002844,1000142,1000111
1002847,1000142,1000075
1002848,1000142,1000071
1002849,1000142,1000079
1002850,1000142,1000037
1002851,1000142,1000093
1002852,1000142,1000055
1002853,1000142,1000215
1002855,1000142,1000060
1002856,1000142,1000040
1002857,1000142,1000109
1002858,1000142,1000157
1002860,1000142,1000080
1002861,1000142,1000009
1002863,1000142,1000094
1002864,1000142,1000110
1002865,1000142,1000216
1002868,1000142,1000045
1002869,1000142,1000095
1002870,1000142,1000056
1002871,1000142,1000046
1002872,1000142,1000081
1002889,1000142,1000174
1002890,1000142,1000176
1002892,1000142,1000178
1002893,1000142,1000179
1002895,1000142,1000222
1002896,1000142,1000223
1002902,1000142,1000182
1002903,1000142,1000228
1002904,1000142,1000229
1002915,1000142,1000236
1002919,1000142,1000237
1002920,1000142,1000238
1002923,1000142,1000241
1002924,1000142,1000242
1002931,1000142,1000249
1002932,1000142,1000250
1002933,1000142,1000251
1002934,1000142,1000252
1002935,1000142,1000253
1002936,1000142,1000254
1002937,1000142,1000255
1002938,1000142,1000256
1002939,1000142,1000257
1002940,1000142,1000258
1002941,1000142,1000259
1002942,1000142,1000260
1002943,1000142,1000261
1002944,1000142,1000262
1002945,1000142,1000263
1002946,1000142,1000264
1002947,1000142,1000265
1002948,1000142,1000266
1002949,1000142,1000267
1002950,1000142,1000268
1002951,1000142,1000269
1002952,1000142,1000270
1002953,1000142,1000271
1002954,1000142,1000272
1002955,1000142,1000273
1002956,1000142,1000274
1002957,1000142,1000275
1002958,1000142,1000276
1002959,1000142,1000277
1002960,1000142,1000278
1002961,1000142,1000279
1002962,1000142,1000280
1002963,1000142,1000281
1002964,1000142,1000282
1002965,1000142,1000283
1002966,1000142,1000284
1002967,1000142,1000285
1002968,1000142,1000286
1002969,1000142,1000287
1002970,1000142,1000288
1002971,1000142,1000289
1002972,1000142,1000290
1002973,1000142,1000291
1002974,1000142,1000292
1002975,1000142,1000293
1002976,1000142,1000294
1002977,1000142,1000295
1002978,1000142,1000296
1002979,1000142,1000297
1002982,1000076,1000237
1002983,1000076,1000238
1002985,1000076,1000240
1002986,1000076,1000241
1002989,1000071,1000300
1002991,1000071,1000237
1002992,1000071,1000238
1002995,1000071,1000241
1002999,1000084,1000238
1003001,1000084,1000240
1003012,1000081,1000242
1003021,1000077,1000242
2000007,2000004,2000068
2000008,2000004,2000069
2000009,2000004,2000070
2000010,2000004,2000071
2000011,2000004,2000072
2000012,2000004,2000073
2000013,2000004,2000074
2000014,2000004,2000075
2000015,2000004,2000076
2000016,2000004,2000077
2000017,2000004,2000078
2000018,2000004,2000079
2000019,2000004,2000080
2000020,2000004,2000081
2000021,2000004,2000082
2000022,2000004,2000083
2000023,2000004,2000084
2000024,2000004,2000085
2000025,2000004,2000086
2000026,2000004,2000087
2000027,2000004,2000088
2000028,2000004,2000089
2000029,2000004,2000090
2000030,2000004,2000091
2000031,2000004,2000092
2000032,2000004,2000093
2000034,2000004,2000095
2000035,2000004,2000096
2000036,2000004,2000097
2000037,2000004,2000098
2000038,2000004,2000099
2000039,2000004,2000100
2000040,2000004,2000101
2000041,2000004,2000102
